09-15 13:41:24.634 I/Xposed  ( 5929): com.lody.virtual.client.hook.delegate.AppInstrumentation.callApplicationOnCreate(AppInstrumentation.java:176)
09-15 13:41:24.634 I/Xposed  ( 5929): com.lody.virtual.client.VClientImpl.bindApplicationNoCheck(VClientImpl.java:365)
09-15 13:41:24.634 I/Xposed  ( 5929): com.lody.virtual.client.VClientImpl.bindApplication(VClientImpl.java:218)
09-15 13:41:24.634 I/Xposed  ( 5929): com.lody.virtual.client.VClientImpl.bindApplicationForActivity(VClientImpl.java:213)
09-15 13:41:24.634 I/Xposed  ( 5929): android.app.TransactionHandlerProxy.handleLaunchActivity(TransactionHandlerProxy.java:149)
09-15 13:41:24.634 I/Xposed  ( 5929): android.app.servertransaction.LaunchActivityItem.execute(LaunchActivityItem.java:83)
09-15 13:41:24.634 I/Xposed  ( 5929): android.app.servertransaction.TransactionExecutor.executeCallbacks(TransactionExecutor.java:135)
09-15 13:41:24.634 I/Xposed  ( 5929): android.app.servertransaction.TransactionExecutor.execute(TransactionExecutor.java:95)
09-15 13:41:24.634 I/Xposed  ( 5929): android.app.ActivityThread$H.handleMessage(ActivityThread.java:2044)
09-15 13:41:24.634 I/Xposed  ( 5929): android.os.Handler.dispatchMessage(Handler.java:107)
09-15 13:41:24.634 I/Xposed  ( 5929): android.os.Looper.loop(Looper.java:224)
09-15 13:41:24.634 I/Xposed  ( 5929): android.app.ActivityThread.main(ActivityThread.java:7562)
09-15 13:41:24.634 I/Xposed  ( 5929): java.lang.reflect.Method.invoke(Native Method)
09-15 13:41:24.634 I/Xposed  ( 5929): com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:539)
09-15 13:41:24.634 I/Xposed  ( 5929): com.android.internal.os.ZygoteInit.main(ZygoteInit.java:950)
09-15 13:41:24.635 I/Xposed  ( 5929): getRunningAppProcesses获取了进程
09-15 13:41:24.638 I/Xposed  ( 5929): dalvik.system.VMStack.getThreadStackTrace(Native Method)
